AgeBand,Gender,City,Account Type,Account Balance,Date Of Account Opening,Last Transaction Date,Transaction Amount,Account Balance After Transaction,Loan Amount,Loan Type,Interest Rate,Loan Term,Loan Status,Card Type,Credit Limit,Credit Card Balance
25-34,Female,San Diego,Current,2697.94,6/24/2018,11/17/2023,3303.19,-605.25,47234.71,Personal,1.64,60,Approved,AMEX,9557.79,4040.85
65+,Female,Houston,Savings,1156.17,06/02/2001,12/08/2023,3615.36,-2459.19,31419.08,Auto,9.35,24,Closed,AMEX,6590.88,1695.25
55-64,Female,Portland,Current,9409.25,7/18/2010,1/28/2023,2694.22,12103.47,44284.94,Mortgage,7.07,12,Closed,MasterCard,7885.13,500.28
25-34,Male,Omaha,Savings,2523.14,10/08/2018,11/10/2023,1290.2,1232.94,48451.89,Mortgage,2.39,12,Rejected,AMEX,5971.93,426.23
25-34,Other,Kansas City,Current,1031.91,9/13/2013,08/03/2023,2760.29,3792.2,44311.31,Personal,3.2,48,Rejected,Visa,1999.48,2252.02
18-24,Other,Baltimore,Savings,7719.85,03/07/2015,1/18/2023,2115.11,9834.96,48638.14,Auto,1.04,48,Rejected,Visa,6498.24,2589.2
55-64,Other,Portland,Current,4201.1,3/14/2009,4/20/2023,4452.78,8653.88,39075.03,Auto,3.38,12,Rejected,Visa,6128.04,1875.71
25-34,Female,Nashville,Current,8452.29,7/27/2016,05/01/2023,3703.65,4748.64,44470.66,Personal,3.85,48,Rejected,AMEX,5502.82,3937.58
45-54,Male,Oklahoma City,Current,8400.47,07/03/2018,10/27/2023,3098.73,5301.74,25081.13,Personal,7.15,60,Approved,AMEX,6080.02,3326.42
55-64,Male,Houston,Current,9924.57,9/14/2002,03/05/2023,208.22,10132.79,17926.51,Auto,5.29,36,Rejected,Visa,4051.76,2827.11
25-34,Other,Austin,Current,8057.9,6/21/2022,02/06/2023,4950.95,13008.85,49985.82,Auto,8.59,60,Rejected,AMEX,8213,3055.72
55-64,Female,San Jose,Current,2220.1,07/09/2020,01/03/2023,2835.69,-615.59,5790.24,Personal,1.78,12,Approved,Visa,3188.01,3817.01
35-44,Other,Dallas,Savings,5905.84,06/02/2019,9/27/2023,1302.3,7208.14,47951.73,Mortgage,7.36,36,Approved,Visa,4888.53,3039.71
65+,Female,Houston,Current,5309.88,2/14/2012,5/15/2023,2961.71,2348.17,22112.84,Auto,8.87,12,Approved,AMEX,7421.79,1113.73
25-34,Other,Fort Worth,Savings,5131.08,3/19/2000,3/24/2023,4091.3,1039.78,2096.78,Auto,4.79,60,Closed,MasterCard,6060.64,2030.72
25-34,Other,Dallas,Current,3038.39,12/23/2004,7/26/2023,2697.4,340.99,40347.81,Auto,3.6,12,Closed,MasterCard,2174.53,680.78
55-64,Male,San Jose,Savings,2180.39,03/07/2001,6/16/2023,3886.68,-1706.29,22766.62,Auto,5.01,48,Approved,Visa,5458.88,4356.42
18-24,Female,Detroit,Current,7197.26,11/29/2011,5/13/2023,2071.06,5126.2,40135.62,Personal,8.1,12,Rejected,Visa,7722.22,1093.01
18-24,Male,Kansas City,Savings,1107.44,2/18/2012,3/20/2023,2953.91,4061.35,3196.01,Mortgage,9.27,60,Rejected,AMEX,1633.46,3001.28
65+,Male,San Jose,Savings,591.2,10/13/2011,11/04/2023,2117.03,2708.23,48733.18,Auto,1.59,48,Approved,AMEX,8664.96,267.82
35-44,Other,Colorado Springs,Current,3874.31,9/27/2022,4/19/2023,2643.7,6518.01,33880.86,Mortgage,5.76,36,Closed,AMEX,5601,1588.89
35-44,Female,Louisville,Current,7464.86,02/07/2014,1/26/2023,845.87,6618.99,3351.81,Personal,6.76,60,Rejected,Visa,5754.47,4475.02
25-34,Female,Denver,Current,8698.48,9/25/2013,6/16/2023,2997.22,11695.7,1227.69,Personal,1.16,24,Rejected,Visa,6076.07,3970.99
45-54,Other,Las Vegas,Current,5447.26,5/16/2005,6/22/2023,4894.97,10342.23,30106.08,Personal,2.63,24,Approved,AMEX,3192.09,465.16
35-44,Other,Denver,Savings,8415.33,5/23/2008,11/29/2023,3826.43,4588.9,48848.47,Mortgage,1.56,60,Closed,MasterCard,4426.88,2790.32
25-34,Other,San Jose,Current,350.38,10/23/2010,1/31/2023,1607.04,1957.42,26675.97,Auto,3.61,60,Closed,MasterCard,7020.04,1920.25
35-44,Female,San Jose,Current,4608.16,01/01/2021,5/31/2023,4320.66,287.5,18340.82,Personal,2.85,24,Rejected,MasterCard,4554.94,675.57
65+,Other,Louisville,Savings,1420.55,6/16/2019,02/09/2023,4479.67,-3059.12,47007.37,Auto,5.38,24,Approved,Visa,9440.85,4091.47
18-24,Other,Los Angeles,Current,5868.9,7/17/2002,10/15/2023,892.26,4976.64,49213.73,Mortgage,6.9,24,Rejected,AMEX,9157.09,4349.54
18-24,Male,Jacksonville,Current,9217.78,11/05/2014,12/23/2023,275.14,8942.64,39439.76,Personal,8.58,60,Rejected,MasterCard,2583.99,2522.87
18-24,Other,Washington,Savings,171.19,12/25/2007,9/17/2023,2866.65,-2695.46,36177.82,Personal,3.74,48,Approved,AMEX,2787.11,949.74
45-54,Other,San Jose,Current,6715.39,10/01/2014,3/22/2023,2384.66,9100.05,1101.12,Auto,1.45,12,Closed,MasterCard,4699.19,2097.58
45-54,Female,Dallas,Current,7944.26,7/16/2000,12/06/2023,3576.28,11520.54,16370.45,Personal,1.03,12,Approved,AMEX,6248.36,162.55
55-64,Other,Tucson,Savings,7470.36,1/15/2012,6/23/2023,1472.36,5998,46333.64,Mortgage,8.6,48,Closed,MasterCard,8941.69,3513.14
35-44,Female,Columbus,Current,295.71,4/27/2012,3/16/2023,1907.26,-1611.55,19038.65,Mortgage,8.9,12,Approved,Visa,2130.31,4516.31
55-64,Male,Oklahoma City,Current,1821.45,10/18/2018,02/11/2023,1326.62,494.83,17394.4,Personal,1.91,48,Approved,Visa,8158.36,78.44
65+,Male,Charlotte,Current,1034.55,4/25/2002,04/07/2023,1467.77,2502.32,27321.85,Personal,1.09,48,Closed,Visa,2092.93,3273.97
18-24,Female,Albuquerque,Savings,946,3/22/2017,6/16/2023,56.34,889.66,22941.53,Auto,8.2,12,Approved,MasterCard,5998.22,444.71
35-44,Other,Tucson,Current,7328.82,10/13/2004,7/17/2023,2558.67,4770.15,43081.1,Mortgage,6.77,12,Approved,Visa,6215.98,1157.1
55-64,Female,San Francisco,Savings,4305.41,1/29/2015,4/13/2023,2371.04,1934.37,5003.11,Auto,6.01,12,Closed,AMEX,9676.11,2676.55
35-44,Other,Las Vegas,Savings,7275.73,08/05/2013,2/16/2023,1785.81,5489.92,33278.72,Mortgage,5.8,36,Approved,Visa,7766.53,1599.52
35-44,Other,Baltimore,Current,3671.45,12/11/2000,6/15/2023,2705.55,965.9,35162.32,Mortgage,7.96,12,Approved,Visa,7510.19,29.43
65+,Other,San Jose,Savings,1258.79,06/04/2000,1/18/2023,1964.88,3223.67,44125.53,Mortgage,3.64,60,Closed,Visa,1225.19,4913.77
35-44,Female,Indianapolis,Current,7212.68,3/24/2015,01/02/2023,2168.48,9381.16,21373.44,Mortgage,4.5,60,Closed,AMEX,7806.03,855.93
18-24,Male,Los Angeles,Current,6297.97,03/05/2020,4/15/2023,19.9,6317.87,15455.26,Mortgage,1.7,36,Rejected,Visa,7103.01,2636.7
45-54,Female,San Francisco,Current,1218.46,10/11/2013,04/12/2023,340.87,1559.33,31701.48,Personal,6.1,60,Closed,AMEX,7112.64,2578.19
55-64,Other,Albuquerque,Savings,9251.21,10/25/2022,07/01/2023,762.01,8489.2,36521.33,Mortgage,9.65,12,Approved,MasterCard,1455.94,4747.53
45-54,Female,San Diego,Current,3158.32,4/13/2000,7/28/2023,928.26,4086.58,9377.98,Personal,3.55,36,Closed,MasterCard,4527.18,3853.01
55-64,Male,Chicago,Savings,6581.83,5/23/2003,12/10/2023,2266.44,8848.27,8750.02,Personal,9.36,24,Closed,AMEX,2033.63,2778.8
35-44,Female,Fort Worth,Savings,416.61,6/20/2020,08/04/2023,4375.81,-3959.2,13916.55,Auto,7.56,24,Approved,Visa,9208.22,3682.02
35-44,Male,Oklahoma City,Savings,4486.12,07/05/2011,9/17/2023,2036.11,2450.01,13147.95,Personal,3.1,48,Closed,MasterCard,4301.76,4232.71
65+,Male,Indianapolis,Current,9647.21,09/01/2009,01/07/2023,3139.69,6507.52,37782.05,Auto,6.97,12,Approved,AMEX,8886,1617.12
35-44,Other,Columbus,Savings,8876.44,08/11/2010,7/26/2023,138.76,9015.2,27004.43,Mortgage,4.3,48,Rejected,AMEX,3859.65,605.86
55-64,Male,Indianapolis,Savings,2291.34,3/21/2022,2/26/2023,4275.68,6567.02,27841.75,Personal,2.1,24,Rejected,MasterCard,7040.48,4055.77
35-44,Female,Tucson,Savings,8803.39,06/06/2003,1/30/2023,574.54,8228.85,1720.41,Personal,1.83,60,Approved,MasterCard,1085.1,956.79
55-64,Female,Baltimore,Savings,3001.39,5/20/2019,09/08/2023,1428.6,4429.99,49718.62,Auto,1.16,36,Rejected,AMEX,7278.68,1705.88
45-54,Other,Fort Worth,Savings,8537.12,6/19/2019,08/09/2023,4085.51,12622.63,41659.71,Auto,8.18,24,Closed,AMEX,7275.51,4406.79
18-24,Female,Charlotte,Savings,7319.35,12/30/2022,8/29/2023,1331.74,5987.61,22739.56,Auto,8.96,48,Approved,Visa,2240.51,3325.55
55-64,Other,Seattle,Current,3585.32,06/11/2015,6/21/2023,1297.42,2287.9,4277.23,Personal,5.34,60,Rejected,Visa,5027.09,434.69
45-54,Female,Louisville,Savings,9116.83,10/28/2004,09/02/2023,3018.9,6097.93,35020.11,Mortgage,5.68,36,Closed,MasterCard,7148.93,1216.61
55-64,Female,El Paso,Current,4904.27,11/29/2003,7/24/2023,4517.19,387.08,27217.26,Auto,7.22,60,Closed,MasterCard,5777.52,776.54
65+,Male,Columbus,Current,3245.17,9/16/2011,8/19/2023,1076.11,2169.06,34199.41,Auto,7.31,24,Rejected,MasterCard,9328.45,159.05
55-64,Male,Baltimore,Current,2868.89,12/01/2021,12/12/2023,3107.88,5976.77,34201.3,Mortgage,3.92,60,Closed,Visa,2897.71,1084.44
55-64,Male,Tucson,Savings,9396.76,10/02/2001,02/05/2023,3004.94,12401.7,8581.98,Mortgage,2.43,60,Rejected,AMEX,9685.69,3237.98
55-64,Female,Charlotte,Current,7609.95,12/27/2004,04/09/2023,3301.02,10910.97,17111.68,Mortgage,4.87,48,Closed,AMEX,5436.83,69.76
65+,Other,San Antonio,Current,3564,11/22/2015,9/15/2023,4734.38,8298.38,1870.24,Mortgage,7.27,60,Closed,MasterCard,9997.78,4812.11
65+,Other,Charlotte,Savings,2616.27,05/06/2008,5/22/2023,837.75,3454.02,49130.88,Mortgage,8.24,36,Closed,AMEX,4837.13,1167.95
25-34,Other,Kansas City,Savings,2195.01,11/01/2008,7/27/2023,3275.24,-1080.23,40516.81,Auto,1.8,24,Approved,Visa,8818.42,1459.12
65+,Male,Austin,Current,2520.48,04/03/2005,4/23/2023,920.08,3440.56,46511.62,Auto,6.29,12,Closed,AMEX,8525.3,174.08
25-34,Female,Memphis,Current,1198.7,11/17/2015,04/10/2023,1578.36,2777.06,3162.4,Mortgage,1.49,60,Approved,Visa,5850.2,348.12
35-44,Male,Milwaukee,Current,4898.88,3/23/2011,4/14/2023,1955.91,6854.79,25517,Personal,8.42,24,Rejected,Visa,7864.12,4993.68
18-24,Female,Boston,Savings,506.61,10/20/2016,8/28/2023,4178.6,-3671.99,37624.25,Personal,7,60,Rejected,Visa,7685.19,1671.1
25-34,Female,Las Vegas,Savings,213.99,05/12/2017,8/29/2023,278.01,492,6081.53,Mortgage,7.27,60,Approved,Visa,2194.45,3398.56
65+,Female,Denver,Savings,6218.92,9/15/2020,10/18/2023,3670.93,9889.85,39077.26,Auto,7.86,48,Rejected,Visa,7610,3754.78
55-64,Male,Los Angeles,Current,975.95,08/01/2001,5/29/2023,4563.83,5539.78,32727.61,Auto,5.46,24,Approved,Visa,7541.88,2467.84
35-44,Female,Washington,Savings,8467.58,9/13/2013,08/08/2023,405.42,8873,49262.81,Mortgage,3.69,36,Approved,MasterCard,4873.73,2313.3
65+,Male,Oklahoma City,Savings,1156.61,2/13/2007,3/23/2023,3955.74,5112.35,7902.42,Personal,8.07,12,Closed,Visa,2383.47,1679.68
45-54,Male,Tucson,Savings,5472.42,10/31/2015,10/15/2023,547.13,6019.55,31834.59,Personal,8,60,Approved,AMEX,5060.94,3509.58
55-64,Female,San Diego,Current,6787.49,09/10/2011,5/31/2023,4814.64,1972.85,47409.58,Mortgage,2.21,24,Approved,AMEX,7722.16,2627.22
45-54,Female,Boston,Savings,2368.64,7/23/2005,5/14/2023,4078.67,-1710.03,37439.8,Auto,9.12,24,Rejected,MasterCard,8916.62,2134.51
55-64,Female,Dallas,Current,8893.82,1/16/2016,10/12/2023,3477.97,5415.85,17471.25,Mortgage,2.99,60,Rejected,MasterCard,4320.58,758.39
35-44,Male,Fresno,Current,4865.73,07/04/2008,11/15/2023,2754.8,7620.53,6843.29,Auto,3.76,12,Closed,Visa,4042.87,3338.22
35-44,Female,El Paso,Savings,3221.66,8/30/2019,8/13/2023,4604.88,-1383.22,48224.56,Personal,2.94,60,Closed,AMEX,2771.12,2184.71
18-24,Female,Phoenix,Savings,9021.17,02/06/2006,05/05/2023,604.17,8417,4523.28,Mortgage,9.69,12,Rejected,Visa,4300.96,521.48
18-24,Other,Boston,Savings,8597.57,12/08/2008,04/06/2023,617.7,9215.27,48783.25,Personal,3.7,24,Closed,Visa,3150.29,1714.68
25-34,Other,San Diego,Current,7125.31,9/30/2004,12/03/2023,4114.22,3011.09,15872.07,Mortgage,9.74,60,Closed,Visa,4030.73,228.31
35-44,Other,Indianapolis,Current,2975.78,7/14/2013,8/28/2023,2416.78,559,43155.24,Mortgage,6.74,24,Closed,MasterCard,5864.91,616.25
45-54,Female,Charlotte,Current,3963.04,10/02/2013,11/10/2023,4226.83,8189.87,28161.28,Auto,2.59,60,Rejected,Visa,6111.17,4967.86
55-64,Male,New York,Current,6928.36,04/02/2011,3/26/2023,1959.4,8887.76,45716.94,Mortgage,5.98,60,Closed,Visa,7674,3956.88
65+,Other,Washington,Savings,1934.31,10/27/2005,3/25/2023,2264.78,-330.47,21904.33,Personal,8.94,36,Approved,MasterCard,9847.14,4938.76
55-64,Male,Chicago,Savings,5001.61,10/30/2010,12/09/2023,1667.07,3334.54,42640.39,Personal,6.06,48,Rejected,AMEX,1806.01,4702.46
18-24,Other,Kansas City,Current,7403.45,06/06/2022,9/29/2023,4754.18,12157.63,12680.87,Mortgage,2.19,60,Approved,AMEX,3120.39,4788.71
35-44,Other,Columbus,Current,6611.36,12/01/2013,01/06/2023,2330.1,8941.46,23870.33,Personal,3.58,60,Rejected,MasterCard,4688.77,2393.83
25-34,Male,Mesa,Current,7227.34,12/22/2018,01/07/2023,3777.93,3449.41,42468.82,Auto,3.02,24,Closed,Visa,9708.51,3385.51
18-24,Other,Seattle,Current,8930,02/04/2018,1/14/2023,3482.58,5447.42,6799.72,Mortgage,2.13,12,Approved,Visa,3531.44,61.78
18-24,Male,Seattle,Savings,9686.04,01/08/2021,01/03/2023,1183.08,10869.12,36703.08,Auto,3.95,24,Rejected,AMEX,8895.07,1899.25
45-54,Female,Chicago,Savings,4638,12/08/2001,8/13/2023,4570.77,67.23,22406.72,Personal,6.95,48,Rejected,Visa,4653.8,3376.87
55-64,Female,Jacksonville,Savings,693.82,10/02/2007,11/01/2023,2727.96,3421.78,26147.53,Mortgage,4.44,60,Approved,Visa,9628.29,769.5
35-44,Male,Colorado Springs,Savings,8360.07,01/09/2010,10/19/2023,4280.47,4079.6,29372.56,Auto,4.99,24,Rejected,Visa,1326.6,4475.66
25-34,Male,New York,Current,1267.86,04/02/2011,10/12/2023,4162.62,5430.48,14507.34,Mortgage,3.89,12,Approved,MasterCard,3177.63,535.83
35-44,Female,Portland,Current,2272.5,9/21/2005,6/17/2023,302.76,2575.26,5722.22,Mortgage,9.95,48,Rejected,Visa,1351.03,4189.57
35-44,Male,Portland,Savings,6566.36,01/03/2003,05/12/2023,3102.67,9669.03,1914.31,Personal,6.28,48,Approved,Visa,7765.06,3076.2
18-24,Female,Austin,Savings,7482.78,05/04/2005,05/01/2023,3947.03,3535.75,22115.18,Auto,8.5,60,Closed,MasterCard,6867.44,4298.86
45-54,Female,Phoenix,Savings,6977.01,04/01/2009,8/24/2023,4533.43,2443.58,14174.67,Personal,4.97,48,Approved,AMEX,3088.39,1119.73
45-54,Male,San Antonio,Savings,4441.07,6/21/2010,1/23/2023,2536.42,1904.65,32013.57,Mortgage,2.52,12,Closed,MasterCard,1495.81,3186.71
65+,Other,Denver,Savings,9188.86,11/22/2007,04/12/2023,3756.06,12944.92,36080.96,Personal,8.62,24,Closed,MasterCard,8130.13,1114.41
55-64,Male,Memphis,Savings,8338.74,1/14/2017,05/12/2023,4848.46,3490.28,25683.49,Mortgage,7.87,48,Closed,MasterCard,7839.52,1307.16
25-34,Female,Charlotte,Current,6670.46,07/03/2005,10/01/2023,4140.93,10811.39,31329.1,Mortgage,3.97,36,Approved,Visa,9274.17,567.94
25-34,Other,Sacramento,Current,4466.65,05/08/2001,01/01/2023,4273.57,193.08,28476.56,Mortgage,6.46,24,Closed,AMEX,2504.7,4271.37
35-44,Other,Atlanta,Savings,4691.88,3/19/2022,02/01/2023,2042.34,2649.54,1224.32,Auto,1.84,12,Rejected,Visa,6165.83,4010.68
45-54,Female,Fort Worth,Savings,1842.07,1/25/2005,5/29/2023,467.53,1374.54,42243.39,Auto,1.24,12,Approved,MasterCard,9263.7,1407.91
55-64,Other,Baltimore,Current,7819.08,9/22/2014,6/15/2023,4830.48,2988.6,3918.56,Mortgage,8.34,60,Approved,Visa,2849.93,898.57
55-64,Other,Oklahoma City,Current,8673.04,3/14/2018,10/24/2023,3482.13,12155.17,21106.68,Mortgage,9.48,48,Approved,AMEX,6465.99,3991.82
25-34,Male,Atlanta,Savings,8290.09,07/09/2020,6/26/2023,864.11,9154.2,6439.91,Personal,4.1,60,Rejected,AMEX,6463.94,2317.35
18-24,Female,Chicago,Current,5516.27,7/14/2013,12/07/2023,4869.42,10385.69,33453.38,Personal,6.38,48,Approved,MasterCard,1376.24,1639.56
35-44,Other,Dallas,Current,8395.62,09/10/2012,04/03/2023,3581.77,4813.85,16953.8,Personal,7.46,24,Closed,MasterCard,8040.26,3407.18
25-34,Female,Colorado Springs,Current,7925.05,3/24/2020,4/27/2023,460.94,8385.99,4486.46,Mortgage,7.71,60,Rejected,Visa,8105.58,1924.72
25-34,Male,Detroit,Current,8340.36,6/25/2018,04/06/2023,862.36,7478,3222.29,Personal,5.33,60,Closed,Visa,2725.24,3640.25
45-54,Male,Los Angeles,Current,9821.14,04/03/2013,2/28/2023,4328.4,5492.74,12619.95,Personal,6.52,60,Approved,MasterCard,1382.7,1046.8
45-54,Male,El Paso,Current,8119,11/09/2015,5/21/2023,4769.62,12888.62,33695.97,Auto,6.91,60,Closed,MasterCard,7480.24,2839.89
55-64,Other,El Paso,Current,2779.83,7/28/2006,11/13/2023,1830.49,4610.32,36192.85,Auto,1.93,36,Closed,MasterCard,2213.32,4374.39
18-24,Male,Nashville,Current,8226.54,7/31/2020,2/20/2023,2072.18,10298.72,7293.09,Auto,6.81,36,Rejected,AMEX,7205.1,4057.02
45-54,Female,Indianapolis,Current,3818.79,09/07/2022,09/12/2023,1983.32,5802.11,7816.5,Auto,5.6,60,Rejected,MasterCard,2352.68,4717.71
35-44,Male,Dallas,Current,5210.3,4/21/2009,04/01/2023,4178.43,1031.87,30068.12,Mortgage,4.41,48,Rejected,AMEX,8742.98,105.45
18-24,Other,San Jose,Savings,7984.36,12/24/2010,11/17/2023,2271.75,10256.11,47906.05,Mortgage,3.36,60,Approved,Visa,6503.34,4642.5
65+,Male,Louisville,Savings,3235.52,05/11/2011,11/01/2023,1882.53,1352.99,28092.64,Personal,6.74,36,Rejected,MasterCard,6190.95,1202.2
55-64,Other,Portland,Current,358.22,11/12/2010,6/26/2023,3113.12,-2754.9,35875.36,Auto,2.5,36,Rejected,MasterCard,5808.93,4722.16
55-64,Female,San Francisco,Savings,7209.63,05/01/2007,4/13/2023,2457.76,4751.87,29195.38,Mortgage,8.3,60,Rejected,AMEX,1371.22,1276.11
18-24,Male,Kansas City,Savings,9031.52,08/02/2006,5/22/2023,2671.78,6359.74,6136.95,Auto,2.55,60,Closed,MasterCard,8549.06,936.02
18-24,Male,Mesa,Current,9286.1,12/07/2020,1/30/2023,2041,7245.1,47376.74,Personal,7.94,48,Approved,MasterCard,5078.57,3138.65
55-64,Female,New York,Savings,8009.21,6/29/2003,5/22/2023,2307.97,10317.18,4527.26,Mortgage,8.36,36,Rejected,AMEX,4330.56,3633.41
25-34,Female,Seattle,Current,9357.91,01/11/2020,7/22/2023,189.52,9168.39,38233.64,Auto,9.46,60,Rejected,Visa,6679.07,4810.51
65+,Other,Dallas,Savings,8224.5,2/15/2003,08/11/2023,4629.65,12854.15,48988.26,Personal,5.17,12,Approved,AMEX,5497.86,1505.81
18-24,Male,San Jose,Savings,397.98,4/15/2004,12/14/2023,162.56,560.54,16630.86,Auto,1.57,60,Closed,AMEX,3587.82,2260.28
35-44,Male,Omaha,Savings,3561.59,3/16/2020,11/14/2023,3866.33,-304.74,9409.88,Personal,7.1,36,Rejected,Visa,2333.41,3023.73
45-54,Male,Charlotte,Current,3427.45,3/29/2017,01/03/2023,1498.36,4925.81,28742.54,Auto,3.54,12,Rejected,MasterCard,1912.07,4119.06
35-44,Male,Houston,Savings,2269.73,11/05/2020,02/08/2023,570.15,2839.88,39958.26,Auto,1.83,12,Closed,Visa,3128.52,3907.78
65+,Female,Tucson,Current,7999.58,11/15/2014,10/02/2023,3052.37,4947.21,47524.28,Personal,8.7,12,Closed,MasterCard,8830.99,4719.03
35-44,Male,Las Vegas,Savings,5248.89,06/02/2012,12/27/2023,3537.69,8786.58,34990.04,Auto,2.26,48,Closed,MasterCard,1988.45,2709.92
35-44,Male,Mesa,Savings,8379.26,06/09/2014,04/08/2023,3154.71,5224.55,17457.78,Personal,5.56,60,Closed,MasterCard,8337.05,4108.47
35-44,Male,Jacksonville,Current,6053.36,7/23/2010,05/08/2023,2884.66,8938.02,25222.96,Personal,8.1,12,Rejected,Visa,8813.81,4017.03
45-54,Other,Mesa,Savings,5947.03,12/14/2007,6/16/2023,2685.57,8632.6,38298.83,Auto,2.79,48,Rejected,MasterCard,8425.6,1034.72
55-64,Other,Oklahoma City,Current,3903.07,5/24/2016,9/23/2023,2709.88,6612.95,39608.69,Personal,9.07,36,Closed,MasterCard,8772.25,1721.54
45-54,Other,Austin,Current,7917.07,3/30/2017,12/11/2023,4328.45,12245.52,4647.43,Mortgage,3.98,12,Closed,MasterCard,2935.22,999.22
65+,Female,Fort Worth,Current,6862.61,6/27/2015,5/31/2023,459.87,6402.74,31073.24,Personal,4.57,60,Closed,AMEX,9958.81,210.95
35-44,Female,Seattle,Current,3453.64,5/21/2010,09/05/2023,795.27,4248.91,48401.13,Personal,2.18,12,Rejected,Visa,5885.39,4251.05
55-64,Female,Baltimore,Savings,9936.38,7/18/2004,2/28/2023,4065.13,14001.51,39477.58,Auto,6.8,36,Approved,AMEX,8295.67,4509.59
55-64,Male,Atlanta,Current,4681.61,07/01/2021,08/06/2023,1522.17,3159.44,1358.82,Mortgage,5.46,36,Rejected,MasterCard,5367.06,2104.72
45-54,Male,Oklahoma City,Current,3234.24,09/06/2016,3/24/2023,3860.09,-625.85,12022.14,Personal,9.77,12,Closed,AMEX,2718.38,1824.47
45-54,Female,Boston,Current,6909.15,09/05/2017,04/12/2023,1769.95,8679.1,22805.43,Auto,7.28,60,Approved,AMEX,8615.53,2353.58
35-44,Other,Fort Worth,Savings,2305.79,06/06/2004,5/28/2023,4627.8,6933.59,35607.2,Auto,7.83,48,Approved,MasterCard,5415.74,3142.06
35-44,Male,Nashville,Savings,8323.38,8/16/2001,09/01/2023,1413.86,6909.52,28207.09,Personal,2.79,12,Closed,MasterCard,9750.48,4936.26
55-64,Other,Boston,Current,6835.6,09/01/2005,10/27/2023,2140.21,4695.39,4789.07,Mortgage,7.41,36,Approved,AMEX,8301.88,4358
35-44,Male,Austin,Savings,8713.65,10/09/2001,10/01/2023,802.62,7911.03,37175.16,Mortgage,6.02,48,Approved,AMEX,7754.49,812.67
45-54,Male,Dallas,Savings,3357.61,8/22/2003,2/17/2023,3336.76,20.85,42096.97,Auto,4.63,60,Closed,MasterCard,7472.24,4385.71
18-24,Other,Boston,Current,8558.81,11/24/2003,11/27/2023,2020.38,10579.19,11082.13,Personal,8.04,12,Rejected,AMEX,6482.33,2424
35-44,Female,Sacramento,Current,5059.22,3/27/2016,09/07/2023,4706.61,352.61,4303.76,Personal,9.81,36,Approved,MasterCard,9075.18,4025.58
55-64,Other,Albuquerque,Savings,685.65,3/27/2019,08/05/2023,88.58,597.07,39756.92,Mortgage,1.85,48,Closed,Visa,6589.66,4225.51
55-64,Female,Columbus,Savings,2022.28,5/19/2003,8/23/2023,1944.38,3966.66,32381.87,Mortgage,8.1,24,Rejected,Visa,9963.85,1891.01
35-44,Female,New York,Savings,2254.73,7/18/2015,01/01/2023,127.91,2126.82,40371.7,Mortgage,9.28,48,Rejected,AMEX,5701.68,140.52
25-34,Male,San Francisco,Savings,7703.11,12/27/2003,04/07/2023,1651.92,6051.19,28763.24,Personal,3.84,36,Approved,Visa,1735.85,1824.11
45-54,Male,Boston,Current,2110.94,01/01/2015,9/20/2023,1907.42,4018.36,21998.36,Personal,4.27,36,Closed,Visa,7816.87,149.9
25-34,Male,San Diego,Savings,5662.98,10/01/2007,12/17/2023,1298.1,4364.88,48190.81,Auto,8.15,24,Rejected,MasterCard,1395.87,2570.1
25-34,Female,Phoenix,Savings,6560.17,3/21/2010,3/31/2023,1285.1,5275.07,39218.03,Mortgage,9.58,24,Rejected,MasterCard,4471.48,4745.81
45-54,Female,Phoenix,Savings,7761.19,3/25/2021,7/18/2023,1307.7,6453.49,21183.9,Auto,9.45,24,Rejected,MasterCard,5044.91,4425.55
25-34,Other,Sacramento,Current,7860.41,3/24/2020,04/10/2023,1338.62,6521.79,45468.39,Auto,1.5,60,Rejected,AMEX,8991.12,1917.39
45-54,Male,Denver,Savings,7204.28,11/01/2018,06/01/2023,1418.61,8622.89,49681.46,Mortgage,8.84,36,Closed,Visa,6049.82,3782.78
35-44,Male,El Paso,Current,2210.52,8/22/2019,03/10/2023,4257.98,-2047.46,16103.59,Personal,6.28,12,Closed,MasterCard,9497.01,3654.78
55-64,Female,Dallas,Current,5480.35,12/14/2002,08/02/2023,204.88,5275.47,44731.36,Personal,4.79,60,Rejected,AMEX,3161.35,2888.44
55-64,Male,Baltimore,Current,2972.68,8/31/2019,4/18/2023,4944.66,-1971.98,3224.48,Personal,8.61,36,Rejected,MasterCard,3525,3522.74
65+,Female,Indianapolis,Savings,7773.47,8/23/2012,6/13/2023,1414.8,9188.27,11503.1,Personal,8.2,48,Approved,AMEX,4286.65,4516.8
35-44,Other,Tucson,Savings,7506.12,1/24/2015,11/02/2023,149.45,7655.57,8884.7,Mortgage,5.58,24,Closed,MasterCard,7568.56,1406.27
55-64,Other,Los Angeles,Current,2373.51,1/17/2015,09/05/2023,884.04,1489.47,18473.09,Mortgage,4.7,48,Closed,Visa,7121.54,878.49
35-44,Male,Columbus,Savings,6449.29,6/15/2013,10/29/2023,4709.91,11159.2,28568.51,Mortgage,5.25,12,Rejected,Visa,2852.29,1608.51
18-24,Other,New York,Current,678.44,11/14/2015,7/17/2023,4987.64,5666.08,36279.01,Personal,3.87,60,Approved,Visa,4633.47,3055.03
